comparison,base_model,enhanced_model,fold,target,delta_R2
A2_minus_A0_arrhenius,A0_physics_no_arrhenius,A2_physics_plus_arrhenius,1,Vmax (nM s⁻¹),0.17578718687084927
A2_minus_A0_arrhenius,A0_physics_no_arrhenius,A2_physics_plus_arrhenius,2,Km (mM),0.6394015486059376
A2_minus_A0_arrhenius,A0_physics_no_arrhenius,A2_physics_plus_arrhenius,2,Kcat (s⁻¹),0.017753463516705037
A2_minus_A0_arrhenius,A0_physics_no_arrhenius,A2_physics_plus_arrhenius,2,Vmax (nM s⁻¹),0.1464047713061356
A2_minus_A0_arrhenius,A0_physics_no_arrhenius,A2_physics_plus_arrhenius,3,Km (mM),1.05739578176152
A2_minus_A0_arrhenius,A0_physics_no_arrhenius,A2_physics_plus_arrhenius,3,Kcat (s⁻¹),0.0871638318423027
A2_minus_A0_arrhenius,A0_physics_no_arrhenius,A2_physics_plus_arrhenius,3,Vmax (nM s⁻¹),-0.10456000321518288
A2_minus_A0_arrhenius,A0_physics_no_arrhenius,A2_physics_plus_arrhenius,4,Km (mM),0.8471958760651764
A2_minus_A0_arrhenius,A0_physics_no_arrhenius,A2_physics_plus_arrhenius,4,Kcat (s⁻¹),-0.09070098237921032
A2_minus_A0_arrhenius,A0_physics_no_arrhenius,A2_physics_plus_arrhenius,4,Vmax (nM s⁻¹),0.0865913029569717
A2_minus_A0_arrhenius,A0_physics_no_arrhenius,A2_physics_plus_arrhenius,5,Km (mM),0.011943737059401549
A2_minus_A0_arrhenius,A0_physics_no_arrhenius,A2_physics_plus_arrhenius,5,Kcat (s⁻¹),-0.05590589474577701
A2_minus_A0_arrhenius,A0_physics_no_arrhenius,A2_physics_plus_arrhenius,5,Vmax (nM s⁻¹),0.26024731141654445
A3_minus_A1_arrhenius_beyond_activity,A1_physics_plus_activity_category,A3_physics_plus_activity_and_arrhenius,1,Km (mM),0.0009091121680284697
A3_minus_A1_arrhenius_beyond_activity,A1_physics_plus_activity_category,A3_physics_plus_activity_and_arrhenius,1,Kcat (s⁻¹),-0.031106838331469544
A3_minus_A1_arrhenius_beyond_activity,A1_physics_plus_activity_category,A3_physics_plus_activity_and_arrhenius,1,Vmax (nM s⁻¹),-0.013367032150836122
A3_minus_A1_arrhenius_beyond_activity,A1_physics_plus_activity_category,A3_physics_plus_activity_and_arrhenius,2,Km (mM),0.0035975001913972626
A3_minus_A1_arrhenius_beyond_activity,A1_physics_plus_activity_category,A3_physics_plus_activity_and_arrhenius,2,Kcat (s⁻¹),-0.006505365307635458
A3_minus_A1_arrhenius_beyond_activity,A1_physics_plus_activity_category,A3_physics_plus_activity_and_arrhenius,2,Vmax (nM s⁻¹),0.0203753738359832
A3_minus_A1_arrhenius_beyond_activity,A1_physics_plus_activity_category,A3_physics_plus_activity_and_arrhenius,3,Km (mM),0.06055636090260619
A3_minus_A1_arrhenius_beyond_activity,A1_physics_plus_activity_category,A3_physics_plus_activity_and_arrhenius,3,Kcat (s⁻¹),-0.00662967703036188
A3_minus_A1_arrhenius_beyond_activity,A1_physics_plus_activity_category,A3_physics_plus_activity_and_arrhenius,3,Vmax (nM s⁻¹),-0.043106212333693494
A3_minus_A1_arrhenius_beyond_activity,A1_physics_plus_activity_category,A3_physics_plus_activity_and_arrhenius,4,Km (mM),0.00404551828247246
A3_minus_A1_arrhenius_beyond_activity,A1_physics_plus_activity_category,A3_physics_plus_activity_and_arrhenius,4,Kcat (s⁻¹),-0.01812079399354738
A3_minus_A1_arrhenius_beyond_activity,A1_physics_plus_activity_category,A3_physics_plus_activity_and_arrhenius,4,Vmax (nM s⁻¹),-0.02458741074755244
A3_minus_A1_arrhenius_beyond_activity,A1_physics_plus_activity_category,A3_physics_plus_activity_and_arrhenius,5,Km (mM),0.024767192616116596
A3_minus_A1_arrhenius_beyond_activity,A1_physics_plus_activity_category,A3_physics_plus_activity_and_arrhenius,5,Kcat (s⁻¹),-0.013899010427660174
A3_minus_A1_arrhenius_beyond_activity,A1_physics_plus_activity_category,A3_physics_plus_activity_and_arrhenius,5,Vmax (nM s⁻¹),-0.005598146143245164
