comparison,base_model,enhanced_model,fold,target,delta_R2
A2_minus_A0_arrhenius,A0_physics_no_arrhenius,A2_physics_plus_arrhenius,1,Vmax (nM s⁻¹),1.5310548532154278
A2_minus_A0_arrhenius,A0_physics_no_arrhenius,A2_physics_plus_arrhenius,2,Km (mM),0.3736121128633796
A2_minus_A0_arrhenius,A0_physics_no_arrhenius,A2_physics_plus_arrhenius,2,Kcat (s⁻¹),0.19636845844668827
A2_minus_A0_arrhenius,A0_physics_no_arrhenius,A2_physics_plus_arrhenius,2,Vmax (nM s⁻¹),-1.8202919568331701
A2_minus_A0_arrhenius,A0_physics_no_arrhenius,A2_physics_plus_arrhenius,3,Km (mM),0.21391190669379867
A2_minus_A0_arrhenius,A0_physics_no_arrhenius,A2_physics_plus_arrhenius,3,Kcat (s⁻¹),0.17699264379966273
A2_minus_A0_arrhenius,A0_physics_no_arrhenius,A2_physics_plus_arrhenius,3,Vmax (nM s⁻¹),0.732489019752335
A2_minus_A0_arrhenius,A0_physics_no_arrhenius,A2_physics_plus_arrhenius,4,Km (mM),0.7816216971789703
A2_minus_A0_arrhenius,A0_physics_no_arrhenius,A2_physics_plus_arrhenius,4,Kcat (s⁻¹),0.05756476479100825
A2_minus_A0_arrhenius,A0_physics_no_arrhenius,A2_physics_plus_arrhenius,4,Vmax (nM s⁻¹),-2.0921485078802604
A2_minus_A0_arrhenius,A0_physics_no_arrhenius,A2_physics_plus_arrhenius,5,Km (mM),0.2198327822058046
A2_minus_A0_arrhenius,A0_physics_no_arrhenius,A2_physics_plus_arrhenius,5,Kcat (s⁻¹),0.09918813029947282
A2_minus_A0_arrhenius,A0_physics_no_arrhenius,A2_physics_plus_arrhenius,5,Vmax (nM s⁻¹),0.014777013021241237
A3_minus_A1_arrhenius_beyond_activity,A1_physics_plus_activity_category,A3_physics_plus_activity_and_arrhenius,1,Km (mM),-0.027475556960953385
A3_minus_A1_arrhenius_beyond_activity,A1_physics_plus_activity_category,A3_physics_plus_activity_and_arrhenius,1,Kcat (s⁻¹),-0.021833470472295113
A3_minus_A1_arrhenius_beyond_activity,A1_physics_plus_activity_category,A3_physics_plus_activity_and_arrhenius,1,Vmax (nM s⁻¹),0.26725383771063216
A3_minus_A1_arrhenius_beyond_activity,A1_physics_plus_activity_category,A3_physics_plus_activity_and_arrhenius,2,Km (mM),-0.16537592690673586
A3_minus_A1_arrhenius_beyond_activity,A1_physics_plus_activity_category,A3_physics_plus_activity_and_arrhenius,2,Kcat (s⁻¹),0.18557804891423668
A3_minus_A1_arrhenius_beyond_activity,A1_physics_plus_activity_category,A3_physics_plus_activity_and_arrhenius,2,Vmax (nM s⁻¹),-0.20118801418750643
A3_minus_A1_arrhenius_beyond_activity,A1_physics_plus_activity_category,A3_physics_plus_activity_and_arrhenius,3,Km (mM),0.006233997670812563
A3_minus_A1_arrhenius_beyond_activity,A1_physics_plus_activity_category,A3_physics_plus_activity_and_arrhenius,3,Kcat (s⁻¹),-0.06702407938482002
A3_minus_A1_arrhenius_beyond_activity,A1_physics_plus_activity_category,A3_physics_plus_activity_and_arrhenius,3,Vmax (nM s⁻¹),-0.029099654941362352
A3_minus_A1_arrhenius_beyond_activity,A1_physics_plus_activity_category,A3_physics_plus_activity_and_arrhenius,4,Km (mM),-0.0022794402353079057
A3_minus_A1_arrhenius_beyond_activity,A1_physics_plus_activity_category,A3_physics_plus_activity_and_arrhenius,4,Kcat (s⁻¹),-0.0023776579048284674
A3_minus_A1_arrhenius_beyond_activity,A1_physics_plus_activity_category,A3_physics_plus_activity_and_arrhenius,4,Vmax (nM s⁻¹),0.03727773534354384
A3_minus_A1_arrhenius_beyond_activity,A1_physics_plus_activity_category,A3_physics_plus_activity_and_arrhenius,5,Km (mM),-0.06474050318140301
A3_minus_A1_arrhenius_beyond_activity,A1_physics_plus_activity_category,A3_physics_plus_activity_and_arrhenius,5,Kcat (s⁻¹),-0.026898120866003516
A3_minus_A1_arrhenius_beyond_activity,A1_physics_plus_activity_category,A3_physics_plus_activity_and_arrhenius,5,Vmax (nM s⁻¹),-0.01823591080464504
