analysis,model,target,n_samples,n_publications,pooled_OOF_R2,pooled_OOF_RMSE_log10,pooled_OOF_MAE_log10,pooled_OOF_within_2x_pct,pooled_OOF_within_5x_pct
publication_grouped_cv,M1_raw_independent,Km (mM),86,23,-0.2986298213836529,1.5487942811516573,1.3016995281364456,16.27906976744186,23.25581395348837
publication_grouped_cv,M1_raw_independent,Kcat (s⁻¹),86,23,-0.015090665794845526,3.2678367190756497,2.5031177689543713,10.465116279069768,24.418604651162788
publication_grouped_cv,M1_raw_independent,Vmax (nM s⁻¹),86,23,-1.1347184214166992,2.5296747815764777,1.8310300737498784,13.953488372093023,38.372093023255815
publication_grouped_cv,M2_raw_chain,Km (mM),86,23,-0.2986298213836529,1.5487942811516573,1.3016995281364458,16.27906976744186,23.25581395348837
publication_grouped_cv,M2_raw_chain,Kcat (s⁻¹),86,23,0.020315978234633825,3.2103393624455254,2.580849178189946,8.13953488372093,18.6046511627907
publication_grouped_cv,M2_raw_chain,Vmax (nM s⁻¹),86,23,-0.9192478572855249,2.3986115719457395,1.6429123822035054,22.093023255813954,45.348837209302324
publication_grouped_cv,M3_physics_independent,Km (mM),86,23,0.07354895508201942,1.3081642857338727,1.0916921308614393,9.30232558139535,36.04651162790697
publication_grouped_cv,M3_physics_independent,Kcat (s⁻¹),86,23,-0.03246838527029783,3.295689682463081,2.498168972939222,15.11627906976744,27.906976744186046
publication_grouped_cv,M3_physics_independent,Vmax (nM s⁻¹),86,23,-0.7713293638533436,2.3043267076394534,1.6563671973475913,18.6046511627907,39.53488372093023
publication_grouped_cv,M4_full_physics_chain,Km (mM),86,23,0.07354895508201942,1.3081642857338727,1.0916921308614393,9.30232558139535,36.04651162790697
publication_grouped_cv,M4_full_physics_chain,Kcat (s⁻¹),86,23,-0.014196108707843047,3.266396497567904,2.5504926809776927,9.30232558139535,19.767441860465116
publication_grouped_cv,M4_full_physics_chain,Vmax (nM s⁻¹),86,23,-0.8031825259719645,2.324953318937779,1.6499746325479487,25.581395348837212,38.372093023255815
publication_grouped_cv,A0_physics_no_arrhenius,Km (mM),86,23,-0.1979030453900814,1.4875168194477741,1.2649097046429199,18.6046511627907,26.744186046511626
publication_grouped_cv,A0_physics_no_arrhenius,Kcat (s⁻¹),86,23,-0.07614036033363814,3.364669343430166,2.5669631305933054,16.27906976744186,23.25581395348837
publication_grouped_cv,A0_physics_no_arrhenius,Vmax (nM s⁻¹),86,23,-0.8447853740088074,2.3516209239428667,1.6630617106446406,26.744186046511626,40.69767441860465
publication_grouped_cv,A1_physics_plus_activity_category,Km (mM),86,23,0.1681300671159094,1.2395919985269053,1.0173426413536488,15.11627906976744,43.02325581395349
publication_grouped_cv,A1_physics_plus_activity_category,Kcat (s⁻¹),86,23,0.0010407274476917916,3.241767190539881,2.6085828533415185,3.488372093023256,8.13953488372093
publication_grouped_cv,A1_physics_plus_activity_category,Vmax (nM s⁻¹),86,23,-0.6656118230119554,2.2345047892682834,1.5708192794736682,23.25581395348837,39.53488372093023
publication_grouped_cv,A2_physics_plus_arrhenius,Km (mM),86,23,0.07354895508201942,1.3081642857338727,1.0916921308614393,9.30232558139535,36.04651162790697
publication_grouped_cv,A2_physics_plus_arrhenius,Kcat (s⁻¹),86,23,-0.014196108707843047,3.266396497567904,2.5504926809776927,9.30232558139535,19.767441860465116
publication_grouped_cv,A2_physics_plus_arrhenius,Vmax (nM s⁻¹),86,23,-0.8031825259719645,2.324953318937779,1.6499746325479487,25.581395348837212,38.372093023255815
publication_grouped_cv,A3_physics_plus_activity_and_arrhenius,Km (mM),86,23,0.13756727893248588,1.262157822455529,1.020995374679833,15.11627906976744,41.86046511627907
publication_grouped_cv,A3_physics_plus_activity_and_arrhenius,Kcat (s⁻¹),86,23,-0.013151933191402732,3.264714589330292,2.6049828843564664,3.488372093023256,9.30232558139535
publication_grouped_cv,A3_physics_plus_activity_and_arrhenius,Vmax (nM s⁻¹),86,23,-0.6644338095233764,2.2337144663570445,1.5720986116869593,23.25581395348837,44.18604651162791
