model,target,R2,CI_low,CI_high,RMSE_log10,MAE_log10,within_2x_pct,within_5x_pct
M1_raw_independent,Km (mM),-0.03547819951498865,-1.4265041900474453,0.21072704349193405,1.387871109105063,1.1645150939108317,11.11111111111111,38.88888888888889
M1_raw_independent,Kcat (s⁻¹),0.2945145972005939,-0.6318856696905961,0.5490156363432028,2.3021011260621873,2.0125704368229522,5.555555555555555,16.666666666666664
M1_raw_independent,Vmax (nM s⁻¹),0.15525172112935504,-0.9609818454547575,0.33910561863687533,1.0952881993606682,0.8583862068676864,11.11111111111111,61.111111111111114
M2_raw_chain,Km (mM),-0.03547819951498865,-1.4265041900474449,0.21072704349193405,1.387871109105063,1.164515093910832,11.11111111111111,38.88888888888889
M2_raw_chain,Kcat (s⁻¹),0.2290187522894468,-0.7635993539152591,0.48048077986573956,2.4065910025343893,2.1536368700540622,5.555555555555555,5.555555555555555
M2_raw_chain,Vmax (nM s⁻¹),0.03184052741269261,-1.2891369428763892,0.26224456795668105,1.1725684385317179,0.896413765353625,16.666666666666664,55.55555555555556
M3_physics_independent,Km (mM),0.735572147990349,0.4183424629716882,0.8724523181863397,0.7013458861641207,0.5380290180248931,44.44444444444444,72.22222222222221
M3_physics_independent,Kcat (s⁻¹),0.3188361847292247,-0.48228705003010425,0.6792397556606352,2.262070655086112,1.7145333046834634,16.666666666666664,33.33333333333333
M3_physics_independent,Vmax (nM s⁻¹),0.49203523239635516,-0.5726261728811699,0.7985724375323159,0.849339938043447,0.5601429231218966,55.55555555555556,66.66666666666666
M4_full_physics_chain,Km (mM),0.735572147990349,0.4183424629716883,0.8724523181863397,0.7013458861641207,0.5380290180248931,44.44444444444444,72.22222222222221
M4_full_physics_chain,Kcat (s⁻¹),0.3072979870477639,-0.5499985493287051,0.6512082928511419,2.2811487509624016,1.7776336720569637,16.666666666666664,22.22222222222222
M4_full_physics_chain,Vmax (nM s⁻¹),0.48426996066972794,-0.5410735275207862,0.7787645182301691,0.8558072570586117,0.5498526272200707,55.55555555555556,72.22222222222221
A0_physics_no_arrhenius,Km (mM),-0.03600650140127182,-1.432131061652883,0.24950105713796375,1.3882251104869012,1.092819338521495,27.77777777777778,50.0
A0_physics_no_arrhenius,Kcat (s⁻¹),0.35112814955041605,-0.6577364873468841,0.6570234521924411,2.2078006055343304,1.7898174763915295,11.11111111111111,27.77777777777778
A0_physics_no_arrhenius,Vmax (nM s⁻¹),0.5163581666300177,-0.2780290211889382,0.7402753542430313,0.8287559896839928,0.5803782801827233,33.33333333333333,72.22222222222221
A1_physics_plus_activity_category,Km (mM),0.781506379022466,0.5543724496848325,0.8841454988913721,0.6375261984983681,0.5206163230659393,33.33333333333333,77.77777777777779
A1_physics_plus_activity_category,Kcat (s⁻¹),0.18073761732811178,-0.9087437649049763,0.640153654439367,2.4808007714951854,1.8490839140352289,5.555555555555555,33.33333333333333
A1_physics_plus_activity_category,Vmax (nM s⁻¹),0.5018041479225885,-0.6342343945300963,0.8393607480275855,0.8411332567657512,0.5348285179858954,61.111111111111114,77.77777777777779
A2_physics_plus_arrhenius,Km (mM),0.735572147990349,0.4183424629716883,0.8724523181863397,0.7013458861641207,0.5380290180248931,44.44444444444444,72.22222222222221
A2_physics_plus_arrhenius,Kcat (s⁻¹),0.307297987047764,-0.5499985493287051,0.6512082928511419,2.2811487509624016,1.7776336720569637,16.666666666666664,22.22222222222222
A2_physics_plus_arrhenius,Vmax (nM s⁻¹),0.48426996066972794,-0.541073527520786,0.7787645182301692,0.8558072570586116,0.5498526272200706,55.55555555555556,72.22222222222221
A3_physics_plus_activity_and_arrhenius,Km (mM),0.802018921003493,0.5979743203184836,0.8868062819642764,0.606862775129532,0.5113961694088774,22.22222222222222,83.33333333333334
A3_physics_plus_activity_and_arrhenius,Kcat (s⁻¹),0.1868844410475211,-0.813978435190208,0.6503506868608336,2.4714766794348972,1.8113414105740349,5.555555555555555,38.88888888888889
A3_physics_plus_activity_and_arrhenius,Vmax (nM s⁻¹),0.48735755606554587,-0.6684705474403645,0.8304872522897578,0.8532416189174642,0.5581651031943048,50.0,77.77777777777779
