target,random_5fold_mean_R2,random_5fold_std_R2,publication_grouped_mean_R2,publication_grouped_std_R2,grouped_minus_random_R2
Km (mM),0.3452117716655862,0.36303284095382043,-0.16416210991018373,0.6429035844842537,-0.5093738815757699
Kcat (s⁻¹),0.46540293786035997,0.10568204777104996,-0.4418204058025451,0.7926787104159887,-0.9072233436629051
Vmax (nM s⁻¹),0.321144049504846,0.11632278354367073,-6.198347421011146,6.762099507337459,-6.519491470515992
