model,target,R2,CI_low,CI_high,RMSE_log10,MAE_log10,within_2x_pct,within_5x_pct
DummyMedian,Km (mM),-0.10657001833862023,-1.6370712320455159,-0.00042678738686130556,1.4347231466599097,1.2386418684136162,16.666666666666664,27.77777777777778
DummyMedian,Kcat (s⁻¹),-0.10080930981414893,-0.5653721646560452,-0.00027937031509287646,2.8756526608810824,2.038871008153182,16.666666666666664,27.77777777777778
DummyMedian,Vmax (nM s⁻¹),-0.006107744867107412,-0.560692612508199,-6.859063060358807e-05,1.1953277360797188,0.8205175900341953,16.666666666666664,66.66666666666666
LinearRegression,Km (mM),-0.114740896889308,-1.7195093712202687,0.2117489045585303,1.4400103799343296,1.2406293169430875,11.11111111111111,33.33333333333333
LinearRegression,Kcat (s⁻¹),-0.15744198448891833,-2.0871657679964435,0.4340206947184212,2.948695975422163,2.509313837146177,5.555555555555555,5.555555555555555
LinearRegression,Vmax (nM s⁻¹),-0.5496668929436452,-3.0401462291213335,-0.1708885656812373,1.4834876263226586,1.1824331874461456,5.555555555555555,33.33333333333333
