model,target,n_folds,mean_R2,std_R2,mean_RMSE_log10,std_RMSE_log10,mean_MAE_log10,mean_within_2x_pct,mean_within_5x_pct
A0_physics_no_arrhenius,Km (mM),5,-0.2620095902342277,0.4371974085079151,1.459976977843791,0.30002867435234276,1.1525568705949918,27.166666666666664,40.24999999999999
A0_physics_no_arrhenius,Kcat (s⁻¹),5,0.3661221957574368,0.11708310466707604,2.4053513165377494,0.29923359238754943,1.809506446520441,17.833333333333336,41.49999999999999
A0_physics_no_arrhenius,Vmax (nM s⁻¹),5,0.25660941403303605,0.17166735194138663,1.148531271201607,0.6265229747852608,0.6954795657958025,35.33333333333333,73.91666666666666
A1_physics_plus_activity_category,Km (mM),5,0.5374209441129908,0.32864342494654086,0.8314553119332851,0.31557827528060156,0.6251268364950293,35.08333333333333,71.5
A1_physics_plus_activity_category,Kcat (s⁻¹),5,0.25346273756664595,0.22634018886769844,2.5913025003263885,0.40807864023413865,1.9419045152609093,20.416666666666668,37.333333333333336
A1_physics_plus_activity_category,Vmax (nM s⁻¹),5,0.22194700832872355,0.1848978444632234,1.1592380367650743,0.607488520136516,0.6967868849523116,37.58333333333333,71.41666666666666
A2_physics_plus_arrhenius,Km (mM),5,0.16364839738605244,0.28704524008337906,1.1943455412299442,0.30720473721660996,0.9085919461397239,31.249999999999993,56.25
A2_physics_plus_arrhenius,Kcat (s⁻¹),5,0.31198549590890384,0.20853191489147277,2.4896297806408754,0.40883839070954725,1.9053911099638892,19.25,33.5
A2_physics_plus_arrhenius,Vmax (nM s⁻¹),5,0.254976698059212,0.15831339931855978,1.1505172425939327,0.6228354633943827,0.6914599944127364,45.666666666666664,72.66666666666666
A3_physics_plus_activity_and_arrhenius,Km (mM),5,0.5505110088415155,0.309732179673504,0.8223824767574304,0.3030704381378304,0.621126644781586,36.33333333333333,70.16666666666666
A3_physics_plus_activity_and_arrhenius,Kcat (s⁻¹),5,0.23209371645587043,0.24823655091090707,2.6252084283542336,0.43719150380395266,1.9635265328738474,20.5,37.25
A3_physics_plus_activity_and_arrhenius,Vmax (nM s⁻¹),5,0.19489396092658456,0.18211941887214242,1.1802605901264993,0.6157943961337885,0.716882770711177,37.58333333333333,71.41666666666666
